City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Kruisfontein,ZA,2023-01-24 19:12:19,-34.0033,24.7314,63.88,69,94,16.62
67,Zhezkazgan,KZ,2023-01-24 19:12:20,47.8043,67.7144,-6.75,100,49,7.0
68,Arkhangelsk,RU,2023-01-24 19:12:20,64.5401,40.5433,26.71,92,100,8.95
69,Adeje,ES,2023-01-24 19:12:20,28.1227,-16.726,63.48,61,20,19.57
70,Kaka,TM,2023-01-24 19:12:21,37.3482,59.6143,26.44,42,6,4.79
71,Ravar,IR,2023-01-24 19:12:21,31.2656,56.8055,34.21,43,0,1.28
72,Djambala,CG,2023-01-24 19:12:21,-2.5447,14.7533,67.86,95,100,3.87
73,Kavaratti,IN,2023-01-24 19:12:22,10.5669,72.642,79.03,79,93,10.98
74,Druzhba,UA,2023-01-24 19:12:22,52.0428,33.9453,27.63,59,0,3.09
75,Saint George,US,2023-01-24 19:12:20,37.1041,-113.5841,43.95,40,0,5.01
76,Sao Joao Da Barra,BR,2023-01-24 19:12:23,-21.6403,-41.0511,82.49,86,100,4.27
77,Taywarah,AF,2023-01-24 19:12:23,33.35,64.4167,1.18,77,1,4.21
78,Alpnach,CH,2023-01-24 19:12:23,46.9402,8.2743,36.27,79,100,3.44
79,Upernavik,GL,2023-01-24 19:12:23,72.7868,-56.1549,3.09,76,100,2.82
80,Salamanca,ES,2023-01-24 19:12:24,40.8333,-6.0,32.99,95,38,14.14
81,Teguldet,RU,2023-01-24 19:12:24,57.3064,88.1667,-11.51,99,100,3.94
82,Adrar,MR,2023-01-24 19:12:25,20.5022,-10.0711,71.28,15,0,4.68
83,Sept-Iles,CA,2023-01-24 19:12:02,50.2001,-66.3821,27.12,69,100,13.8
84,Plattsburgh,US,2023-01-24 19:10:44,44.6995,-73.4529,36.36,74,100,5.75
85,Kambove,CD,2023-01-24 19:12:25,-10.8764,26.5969,61.3,95,100,3.6
86,Igrim,RU,2023-01-24 19:12:26,63.1906,64.4162,14.29,89,97,8.57
87,Korla,CN,2023-01-24 19:12:26,41.7597,86.1469,7.66,73,8,5.64
88,Boksitogorsk,RU,2023-01-24 19:13:26,59.474,33.8485,25.61,95,100,7.67
89,Albany,US,2023-01-24 19:13:27,42.6001,-73.9662,35.37,76,87,3.0
90,Uray,RU,2023-01-24 19:13:27,60.1247,64.7758,12.25,94,90,7.25
91,Birao,CF,2023-01-24 19:13:27,10.2849,22.7882,76.77,13,70,6.02
92,Ibra,OM,2023-01-24 19:13:28,22.6906,58.5334,57.9,65,28,3.09
93,Ponta Do Sol,PT,2023-01-24 19:13:28,32.6667,-17.1,63.23,63,62,6.85
94,Danilov,RU,2023-01-24 19:13:28,58.1908,40.1717,23.76,94,100,7.94
95,Vila Franca Do Campo,PT,2023-01-24 19:13:29,37.7167,-25.4333,57.61,85,57,14.27
96,Lukulu,ZM,2023-01-24 19:13:29,-14.3707,23.242,63.59,94,95,4.56
97,Kasongo-Lunda,CD,2023-01-24 19:13:29,-6.4667,16.8167,68.81,98,100,4.0
98,Ambilobe,MG,2023-01-24 19:13:30,-13.2,49.05,72.41,97,100,5.75
99,Shakawe,BW,2023-01-24 19:13:30,-18.3667,21.85,69.04,79,59,6.04
100,Aasiaat,GL,2023-01-24 19:13:30,68.7098,-52.8699,11.48,93,100,13.29
101,Iskateley,RU,2023-01-24 19:13:31,67.6803,53.1512,18.27,94,100,15.73
102,Arraial Do Cabo,BR,2023-01-24 19:13:31,-22.9661,-42.0278,82.36,74,75,5.75
103,Mahebourg,MU,2023-01-24 19:13:31,-20.4081,57.7,74.25,94,75,3.44
104,Luderitz,NA,2023-01-24 19:13:32,-26.6481,15.1594,66.69,75,0,28.86
105,Iqaluit,CA,2023-01-24 19:13:32,63.7506,-68.5145,-13.27,70,75,10.36
106,Camara De Lobos,PT,2023-01-24 19:11:50,32.6333,-16.9667,63.23,76,40,14.97
107,Benghazi,LY,2023-01-24 19:13:33,32.1167,20.0667,61.45,53,88,14.0
108,Arrecife,ES,2023-01-24 19:13:33,28.963,-13.5477,62.58,59,20,13.8
109,Coari,BR,2023-01-24 19:11:18,-4.085,-63.1414,81.09,84,99,3.15
110,Maniitsoq,GL,2023-01-24 19:13:33,65.4167,-52.9,21.61,84,100,7.65
111,Turukhansk,RU,2023-01-24 19:13:34,65.8167,87.9833,-29.38,92,41,5.39
112,Cidreira,BR,2023-01-24 19:13:34,-30.1811,-50.2056,79.39,73,5,12.33
113,Mersin,TR,2023-01-24 19:13:34,36.862,34.6509,54.86,52,1,4.52
114,Kisangani,CD,2023-01-24 19:13:35,0.5167,25.2,78.24,52,93,3.69
115,Nuevitas,CU,2023-01-24 19:13:35,21.5453,-77.2644,81.75,58,1,13.13
116,Saint-Georges,GD,2023-01-24 19:09:36,12.0564,-61.7485,83.88,58,20,19.57
117,Necochea,AR,2023-01-24 19:13:36,-38.5473,-58.7368,80.1,52,52,3.67
118,Abu Samrah,SY,2023-01-24 19:13:36,35.3029,37.1841,51.51,73,2,7.63
119,Mandera,KE,2023-01-24 19:13:36,3.9366,41.867,87.19,27,71,9.62
120,Takoradi,GH,2023-01-24 19:13:37,4.8845,-1.7554,81.28,79,14,7.7
121,Vila Velha,BR,2023-01-24 19:08:41,-20.3297,-40.2925,80.55,93,75,13.8
122,Port Blair,IN,2023-01-24 19:13:37,11.6667,92.75,78.84,78,6,4.61
123,Macenta,GN,2023-01-24 19:13:38,8.5435,-9.471,70.41,89,100,1.92
124,Nantucket,US,2023-01-24 19:13:38,41.2835,-70.0995,41.11,66,75,20.71
125,Aleksandrov Gay,RU,2023-01-24 19:13:38,50.147,48.5704,18.12,73,15,5.75
126,Namibe,AO,2023-01-24 19:13:38,-15.1961,12.1522,75.51,81,94,5.66
127,Santiago Del Estero,AR,2023-01-24 19:13:39,-27.7951,-64.2615,106.77,21,0,14.09
128,Rio Gallegos,AR,2023-01-24 19:13:39,-51.6226,-69.2181,62.65,14,40,26.46
129,Mishkino,RU,2023-01-24 19:13:39,55.3389,63.9175,9.95,93,13,8.79
130,Ushtobe,KZ,2023-01-24 19:13:40,45.2514,77.9838,5.2,92,90,3.47
131,Jodar,ES,2023-01-24 19:13:40,37.8406,-3.3526,41.49,73,99,5.55
132,Bardiyah,LY,2023-01-24 19:13:40,31.7561,25.0865,60.3,67,0,10.65
133,Puerto Madryn,AR,2023-01-24 19:13:41,-42.7692,-65.0385,74.66,18,0,27.04
134,Bambous Virieux,MU,2023-01-24 19:14:41,-20.3428,57.7575,74.21,94,75,3.44
135,Calderitas,MX,2023-01-24 19:11:49,18.55,-88.25,84.31,65,40,13.8
136,Madimba,TZ,2023-01-24 19:14:41,-10.4,40.3333,79.45,89,100,11.88
137,Aracati,BR,2023-01-24 19:14:42,-4.5617,-37.7697,83.17,66,72,8.99
138,Manyana,BW,2023-01-24 19:11:38,-23.4,21.7167,79.45,41,28,7.29
139,Nouakchott,MR,2023-01-24 19:13:25,18.0858,-15.9785,78.73,50,41,9.24
140,Nizza Monferrato,IT,2023-01-24 19:14:42,44.7738,8.3539,44.19,80,100,2.98
141,San Cristobal,VE,2023-01-24 19:11:20,7.7669,-72.225,78.98,42,68,7.74
142,Charlottesville,US,2023-01-24 19:13:20,38.0293,-78.4767,54.12,33,0,4.61
143,Coihaique,CL,2023-01-24 19:14:43,-45.5752,-72.0662,57.81,58,75,14.97
144,Dingle,PH,2023-01-24 19:14:43,10.9995,122.6711,73.42,89,86,12.88
145,Sarab,IR,2023-01-24 19:14:44,38.6066,44.9883,29.84,48,9,1.63
146,Hofn,IS,2023-01-24 19:14:44,64.2539,-15.2082,39.51,78,100,7.2
147,Luis Correia,BR,2023-01-24 19:14:44,-2.8792,-41.6669,82.04,70,32,10.04
148,Kismayo,SO,2023-01-24 19:14:45,-0.3582,42.5454,77.11,84,95,12.62
149,Strezhevoy,RU,2023-01-24 19:14:45,60.7333,77.5889,-14.24,93,100,5.88
150,Pertuis,FR,2023-01-24 19:14:45,43.6925,5.5028,42.12,72,9,2.57
151,Dikson,RU,2023-01-24 19:14:46,73.5069,80.5464,-3.35,94,100,32.3
152,Mbuguni,TZ,2023-01-24 19:14:46,-3.5667,36.95,72.19,66,100,10.36
153,Cermik,TR,2023-01-24 19:14:47,38.1361,39.4493,43.99,54,0,2.3
154,Anloga,GH,2023-01-24 19:14:47,5.7947,0.8973,82.2,78,2,12.93
155,Yar-Sale,RU,2023-01-24 19:14:47,66.8333,70.8333,2.16,97,97,7.11
156,Santa Comba,ES,2023-01-24 19:14:47,43.0331,-8.8093,45.66,79,20,9.51
157,Chongoyape,PE,2023-01-24 19:14:48,-6.6406,-79.3892,88.61,44,40,10.0
158,Kyshtovka,RU,2023-01-24 19:14:48,56.555,76.6271,8.33,97,100,4.54
159,Turayf,SA,2023-01-24 19:14:48,31.6725,38.6637,48.45,53,0,6.91
160,Pishin,PK,2023-01-24 19:14:49,30.5803,66.9961,30.94,62,1,2.53
161,Mehamn,NO,2023-01-24 19:14:49,71.0357,27.8492,35.55,69,40,36.82
162,Runcorn,GB,2023-01-24 19:14:49,53.3417,-2.7312,44.91,92,100,3.44
163,Kakrala,IN,2023-01-24 19:14:50,27.9,79.2,57.76,80,3,6.93
164,Marienburg,PL,2023-01-24 19:14:50,54.0359,19.0266,33.89,80,51,2.8
165,Manhuacu,BR,2023-01-24 19:14:50,-20.2581,-42.0336,77.43,82,100,1.7
166,Pandamatenga,BW,2023-01-24 19:14:51,-18.5278,25.627,64.42,97,100,4.94
167,Manali,IN,2023-01-24 19:14:51,13.1667,80.2667,77.09,67,100,7.85
168,The Valley,AI,2023-01-24 19:14:00,18.217,-63.0578,82.26,61,20,11.5
169,La Libertad,EC,2023-01-24 19:14:51,-2.2333,-80.9,82.06,69,0,10.36
170,Bozoum,CF,2023-01-24 19:14:52,6.3193,16.3799,80.02,18,100,3.96
171,Youkounkoun,GN,2023-01-24 19:14:52,12.5333,-13.1333,88.18,21,78,3.09
172,Lagoa Da Prata,BR,2023-01-24 19:14:52,-20.0225,-45.5436,80.8,66,95,3.76
173,Dori,BF,2023-01-24 19:14:53,14.0354,-0.0345,86.31,12,4,7.78
174,Klaksvik,FO,2023-01-24 19:14:53,62.2266,-6.589,49.12,94,100,30.51
175,Pimentel,PE,2023-01-24 19:14:53,-6.8367,-79.9342,82.69,51,0,20.71
176,Pisco,PE,2023-01-24 19:14:54,-13.7,-76.2167,77.05,65,0,5.75
177,Miracema,BR,2023-01-24 19:14:54,-21.4122,-42.1967,82.29,81,99,2.64
178,Toma,BF,2023-01-24 19:14:54,12.7667,-2.8833,86.47,14,0,6.89
179,Ginir,ET,2023-01-24 19:15:55,7.1333,40.7,60.33,45,89,4.34
180,Urla,TR,2023-01-24 19:15:55,38.3229,26.764,50.4,78,82,7.72
181,Demba,CD,2023-01-24 19:15:55,-5.51,22.2667,69.01,93,100,1.99
182,Iranshahr,IR,2023-01-24 19:15:56,27.2025,60.6848,48.54,21,0,6.91
183,Bauchi,NG,2023-01-24 19:15:56,10.5,10.0,78.37,15,100,5.41
184,Saint-Augustin,CA,2023-01-24 19:15:56,51.226,-58.6502,28.8,84,100,21.47
185,Ilulissat,GL,2023-01-24 19:15:57,69.2167,-51.1,21.22,86,75,13.8
186,Trairi,BR,2023-01-24 19:11:26,-3.2778,-39.2689,83.59,62,16,8.79
187,Maragogi,BR,2023-01-24 19:12:01,-9.0122,-35.2225,81.79,68,16,11.48
